File:C:\ABEDATA\nakamura\20250308_NK84_MSC30SS(70%)_13.9_3.61_90_5_2_3ÅQïWèÄån0225_25-03-08_14-11-58_077.CSV
Weight,0.003654 g
Mode,Voltage(V),Capacity(mAh/g),dV(V),dQ(mAh/g),dQ/dV,
DIS,3.000,0.000,,,
DIS*,2.853,0.005,-0.148,0.005,-0.031
DIS,2.819,0.009,-0.033,0.005,-0.140
DIS,2.794,0.014,-0.026,0.005,-0.181
DIS,2.772,0.019,-0.022,0.005,-0.212
DIS,2.753,0.023,-0.019,0.005,-0.247
DIS,2.737,0.028,-0.016,0.005,-0.285
DIS,2.721,0.032,-0.016,0.005,-0.297
DIS,2.708,0.037,-0.014,0.005,-0.337
DIS,2.694,0.042,-0.013,0.005,-0.353
DIS,2.682,0.046,-0.013,0.005,-0.371
DIS,2.670,0.051,-0.012,0.005,-0.391
DIS,2.659,0.056,-0.011,0.005,-0.436
DIS,2.649,0.060,-0.011,0.005,-0.436
DIS,2.629,0.070,-0.019,0.009,-0.479
DIS,2.612,0.079,-0.017,0.009,-0.530
DIS,2.595,0.088,-0.017,0.009,-0.550
DIS,2.579,0.097,-0.016,0.009,-0.594
DIS,2.565,0.107,-0.014,0.009,-0.645
DIS,2.551,0.116,-0.014,0.009,-0.675
DIS,2.538,0.125,-0.013,0.009,-0.707
DIS,2.526,0.134,-0.012,0.009,-0.781
DIS,2.515,0.144,-0.011,0.009,-0.825
DIS,2.504,0.153,-0.011,0.009,-0.825
DIS,2.493,0.162,-0.011,0.009,-0.873
DIS,2.478,0.176,-0.015,0.014,-0.928
DIS,2.464,0.190,-0.014,0.014,-1.012
DIS,2.451,0.204,-0.013,0.014,-1.060
DIS,2.439,0.218,-0.013,0.014,-1.113
DIS,2.427,0.232,-0.012,0.014,-1.172
DIS,2.416,0.246,-0.011,0.014,-1.309
DIS,2.406,0.260,-0.011,0.014,-1.309
DIS,2.393,0.278,-0.013,0.019,-1.413
DIS,2.381,0.297,-0.012,0.019,-1.562
DIS,2.369,0.315,-0.012,0.019,-1.562
DIS,2.358,0.334,-0.011,0.019,-1.746
DIS,2.345,0.357,-0.013,0.023,-1.767
DIS,2.334,0.380,-0.011,0.023,-2.061
DIS,2.323,0.403,-0.011,0.023,-2.061
DIS,2.311,0.431,-0.012,0.028,-2.343
DIS,2.299,0.459,-0.011,0.028,-2.473
DIS,2.289,0.487,-0.011,0.028,-2.619
DIS,2.277,0.519,-0.012,0.032,-2.734
DIS,2.266,0.552,-0.011,0.032,-3.055
DIS,2.255,0.589,-0.011,0.037,-3.297
DIS,2.245,0.626,-0.010,0.037,-3.709
DIS,2.234,0.668,-0.011,0.042,-3.709
DIS,2.223,0.714,-0.011,0.046,-4.364
DIS,2.213,0.760,-0.011,0.046,-4.364
DIS,2.202,0.816,-0.011,0.056,-5.236
DIS,2.191,0.872,-0.011,0.056,-5.236
DIS,2.180,0.937,-0.011,0.065,-5.770
DIS,2.169,1.006,-0.011,0.070,-6.547
DIS,2.159,1.080,-0.011,0.074,-6.983
DIS,2.148,1.164,-0.011,0.083,-7.856
